gene_name,gene_synonym
RN7SL836P,nan
AL365272.1,nan
AC104232.3,nan
AC021424.1,nan
ABBA01000933.1,nan
RNA5SP138,RN5S138
AC006970.2,nan
PGDP1,PGDL1
AC012557.2,nan
ABITRAMP1,FAM206BP
AC113145.1,nan
AP003123.1,nan
LINC01864,nan
AL158040.2,nan
KBTBD2,BKLHD1|DKFZP566C134
TWNK,FLJ21832|PEO|C10orf2|IOSCA|TWINL|TWINKLE|PEO1
AL122008.4,nan
MAP1A,MAP1L
AL096709.1,nan
PIGQ,GPI1|hGPI1
TUBB8P7,nan
AP001107.7,nan
AL591684.1,nan
AL121576.1,nan
NR4A3,NOR1|CHN|CSMF|MINOR
RPS4XP10,RPS4P10
MAP3K21,KIAA1804|MLK4
RN7SL8P,RN7SL433P|7L63|RN7SLP5
TNKS2,TANK2|PARP-5c|PARP5C|PARP-5b|TNKL|pART6|PARP5B
PSRC1,DDA3
AC090287.3,nan
EEF2KMT,FAM86A|MGC19636|EFM3|SB153
SERF1B,H4F5C|FAM2B
SLC26A4,DFNB4|PDS
SLC16A8,REMP|MCT3
AC231533.1,nan
PHF3,nan
EIF5A2P1,nan
AC009299.1,nan
DKC1,dyskerin|DKC|Cbf5|XAP101|NAP57|NOLA4
AC017002.2,nan
LINC01591,nan
AL591767.1,nan
AC139497.1,nan
CR753093.1,nan
ATP10D,KIAA1487|ATPVD
NOLC1,NOPP140|NOPP130|P130|KIAA0035
LINC00370,nan
SCGB2B3P,SCGB4A3P|C2B
AL360013.3,nan
EIF4E2P2,nan
AC092625.1,nan
AP000919.1,nan
AC022469.2,nan
THUMPD3P1,nan
NRXN2-AS1,nan
RNU6-410P,nan
AL355482.2,nan
RNU6-13P,RNU6-13
AC008760.2,nan
LINC00290,NCRNA00290
COL7A1,EBDCT|EBR1|EBD1
AC068442.1,nan
AL117336.1,nan
AC147067.4,nan
CDA,CDD
AC069280.2,nan
ADAMTS19,nan
AL512326.5,nan
AC090425.1,nan
KYNU,nan
AL137058.3,nan
GU182357.5,nan
TMEM47,DKFZp564E153|DKFZP761J17121|BCMP1|VAB-9|TM4SF10
CASD1,FLJ21879|FLJ21213|C7orf12
AC069288.1,nan
AC027329.1,nan
RNA5SP467,RN5S467
CAST,nan
ATP2B3,CFAP39|CLA2|SCAX1|PMCA3
RN7SL612P,nan
AL589947.1,nan
RNU4-31P,nan
AL357052.1,nan
AC138866.1,nan
AC074029.1,nan
CT476828.1,nan
AC004542.1,nan
RN7SL645P,nan
PRR30,MGC44505|C2orf53
AC084838.1,nan
FAM167A,DIORA-1|C8orf13
AC129492.2,nan
ZC3H15,LEREPO4
AL445222.2,nan
APLP1,APLP
AC140479.6,nan
ROPN1,ropporin|ROPN1A|CT91|ODF6
SRP72P1,nan
CACNA1G,NBR13|Cav3.1
AC245884.5,nan
IL1RN,IL1RA|IL-1RN|MGC10430|ICIL-1RA|IRAP|IL1F3
IGHV3-52,nan
AL033519.3,nan
AC016586.2,nan
AC006065.5,nan
AL359258.1,nan
FCRL6,FLJ16056|IFGP6|FcRH6
MSTO1,FLJ10504|misato|LST005|MST
POU5F1P6,nan
AC093627.28,nan
CCDC33,CT61|FLJ32855
AC275455.1,nan
TUG1,FLJ20618|LINC00080|NCRNA00080
AC012409.3,nan
AC008033.1,nan
AP001107.10,nan
AC017101.1,nan
GNPTAB,GNPTA|KIAA1208|MGC4170
AC079944.1,nan
AC012175.1,nan
KCTD9,FLJ20038|BTBD27
AC079953.3,nan
AC111182.2,nan
AP000350.5,nan
ZNF396,FLJ31213|ZSCAN14
NFAM1,CNAIP
MED12,OKS|CAGH45|HOPA|ARC240|Kto|KIAA0192|TRAP230|OPA1|FGS1|TNRC11
APOOP2,nan
OR7E19P,OR19-7|OR7E65
RNU6-201P,nan
AL355388.2,nan
NPC1L1,SLC65A2
CR759787.2,nan
AC245056.1,nan
HOXC13-AS,HOXC-AS5
AC006366.1,nan
AC099654.10,nan
RUNX1T1,ETO|MTG8|AML1T1|CDR|CBFA2T1|ZMYND2
AC022034.3,nan
PIAS3,FLJ14651|ZMIZ5
AC010487.2,nan
RNU6-157P,nan
AL589765.2,nan
AC118282.5,nan
AL117334.2,nan
MIR1228,MIRN1228|hsa-mir-1228
AC093159.2,nan
RPL23AP76,nan
AC024563.1,nan
MIR141,hsa-mir-141|MIRN141
IMP3P2,nan
SYTL5,nan
PPWD1,KIAA0073
ZFP30,KIAA0961|ZNF745
AL645924.1,nan
ABCF2P1,nan
MIR188,MIRN188|hsa-mir-188
UQCRFS1P3,nan
AC024382.1,nan
AC005632.3,nan
NIFK,Nopp34|hNIFK|MKI67IP
AP002472.1,nan
RNU6-735P,nan
AC135721.2,nan
PMS2P11,PMSR6|PMS2L11
AC246793.1,nan
CTHRC1P1,nan
AL133215.2,nan
RN7SL452P,nan
ZDHHC9,CGI-89|DHHC9|ZDHHC10|ZNF379|ZNF380|CXorf11
RPS3AP6,nan
RNU6-932P,nan
LACTB2-AS1,nan
LINC01117,nan
FKBP4P1,nan
AC026202.1,nan
PSME2P2,nan
RPL22P8,nan
AL355672.1,nan
AC093536.2,nan
AL355385.1,nan
MIR196A2,hsa-mir-196a-2|MIRN196A2|hsa-mir-196-2|MIRN196-2
RPL3P2,RPL3-Hom
AC020930.1,nan
CTSC,PALS|PLS|DPP1
AC009245.1,nan
OR8C1P,OR11-175|OR912-106|OR912-45|OR8C4P|OR8C3P
PRKACB,PKACb
AC137761.2,nan
RAPH1,KIAA1681|ALS2CR18|ALS2CR9
AC133065.1,nan
WNT8A,WNT8D
SAMD11P1,nan
MRPS16,CGI-132
RNA5SP405,RN5S405
BX120007.3,nan
AL158068.1,nan
ARHGAP12,FLJ21785|FLJ20737|FLJ10971
AC245056.3,nan
EVPLL,nan
CDKAL1,FLJ20342
ANKRD50,KIAA1223
SLC25A14P1,nan
DNAJA1P2,nan
AL138828.2,nan
CLHC1,C2orf63|FLJ31438
AC078883.2,nan
PPP1R26,KIAA0649
HHIP-AS1,nan
AC011481.2,nan
AL137222.1,nan
PFN1P3,nan
CCDC201,nan
CYP3A51P,CYP3A5-de1b2b|CYP3A5-de13c|CYP3A5P1
AC005021.1,nan
AC132938.2,nan
AC024288.1,nan
ZNF41,MRX89|MGC8941
AC010761.4,nan
AL513210.2,nan
PCDHB19P,PCDH-PSI5
MIR6798,hsa-mir-6798
MICAL2,KIAA0750
NEUROD1,bHLHa3|NEUROD|BETA2|MODY6|BHF-1
AC005725.1,nan
AL442067.2,nan
HSPA5,GRP78|BiP
AC093627.23,nan
LAMTOR3,MAPKSP1|MAPBP|MP1|MAP2K1IP1|Ragulator3
AC103808.5,nan
AC009093.1,nan
AP005136.1,nan
AC005695.3,nan
AC113340.2,nan
AC100832.3,nan
DEPTOR,FLJ12428|DEPDC6|DEP.6
AC006127.1,nan
AC113192.3,nan
AC217774.1,nan
AC104012.1,nan
LINC01826,lnc-MKI67IP-3
AL356585.4,nan
DIRAS3,ARHI|NOEY2
PARN,DAN
AC005329.1,nan
MIR548N,MIRN548N|hsa-mir-548n
RALA,RAL
COL5A3,nan
AC021723.2,nan
IGBP1,?4|IBP1
RN7SL640P,nan
PACS1,FLJ10209|KIAA1175
SNORD14C,nan
NIFKP9,MKI67IPP9
AL359742.1,nan
ACTRT1,ARIP1|KIAA0705|AIP1|Arp-T1
LARP1BP2,nan
AC105227.3,nan
AL021408.1,nan
AC104794.2,nan
MIR4796,hsa-mir-4796
AC083843.2,nan
NSMCE2,MMS21|ZMIZ7|FLJ32440|C8orf36|NSE2
AC068580.1,nan
SNORD11,HBII-95
AC018665.1,nan
COA6-AS1,nan
AC093264.1,nan
AC016596.2,nan
AL358933.1,nan
AC069363.1,nan
C11orf87,LOH11CR1A|NEURIM1|LOC399947
AC010163.1,nan
AC244517.1,nan
KRT34,KRTHA4|Ha-4
AC009137.1,nan
ATP11A,ATPIS|ATPIH|KIAA1021
AC021422.1,nan
NEK11,FLJ23495
BROX,FLJ32421|C1orf58
RPL23AP90,nan
AC122713.1,nan
NRIR,lncRNA-CMPK2
TMEM30B,CDC50B
AL009178.2,nan
RBPJP2,RBPSUHP2|IGKJRBP2
GJB7,bA136M9.1|CX25
AC079804.2,nan
AC089998.3,nan
RNU6-296P,nan
CLDN7,CPETRL2|Hs.84359|CEPTRL2
TRAJ48,nan
AL022331.1,nan
LINC02082,nan
UBE2B,RAD6B|HHR6B|UBC2
SNORA11F,nan
RGS7,nan
AC011595.2,nan
AC004461.2,nan
AC090517.3,nan
CR318637.2,nan
AC107918.1,nan
PCCA,nan
LINC02335,nan
SNHG18,nan
C1orf185,FLJ27485
AL031601.3,nan
MIR4784,hsa-mir-4784
TERF1P4,nan
NOL9,NET6|FLJ23323|Grc3
AC006033.1,nan
LINC02271,nan
AP000857.2,nan
LINC01495,nan
TAF1,CCG1|NSCL2|CCGS|KAT4|DYT3|TAFII250|DYT3/TAF1|TAF2A|BA2R
AC025164.2,nan
AC009127.1,nan
AC010328.3,nan
ANKRD34A,ANKRD34
AC090825.2,nan
ITGAX,CD11C
AL161945.1,nan
AL161731.1,nan
PURB,PURBETA
PTGES2,FLJ14038|C9orf15
LCE3E,LEP17
AP000812.1,nan
OR2T2,OR2T2P
RSAD1,FLJ11164|HemW
PLEKHG2,ARHGEF42|CLG|FLJ00018
RAB11FIP4,MGC11316|RAB11-FIP4|FLJ00131|KIAA1821
AC023669.2,nan
MIR5092,hsa-mir-5092
AL355355.2,nan
AL451085.2,nan
ALG1L11P,nan
PRELP,prolargin|SLRR2A
AC010674.1,nan
EHD3,PAST3
LINC01846,nan
CT476828.16,nan
AC087072.1,nan
CDC25A,nan
AL021978.1,nan
AL096701.1,nan
AF123462.1,nan
NXF1,DKFZp667O0311|Mex67|TAP
AC069218.1,nan
TRNT1,CCA1|CGI-47|MtCCA
RNU7-157P,nan
TPT1P8,FKSG2
PVT1,NCRNA00079|MIR1204HG|onco-lncRNA-100|LINC00079
AC091705.1,nan
TPRKB,CGI121|CGI-121
SRIP3,nan
AC137935.1,nan
AL049766.1,nan
MRPS17P3,nan
CIAO2A,FAM96A|FLJ22875|CIA2A
RNU6-511P,nan
CCDC157,nan
FEZF2,ZNF312|FEZL|Zfp312|FLJ10142|TOF|FKSG36
AC108471.4,nan
AC008966.2,nan
ZNF740,Zfp740
APOO,MGC4825|My025|FAM121B|MIC26|MICOS26|Mic23
HMGB1P10,HMG1L10|HMGB1L10
AC136352.7,nan
ANGPTL5,nan
AC008798.2,nan
LINC02864,RP11-169F17.1
SNORA108,nan
AC006133.1,nan
CAMKMT,C2orf34|CLNMT
RNU7-182P,nan
AL513478.1,nan
C2orf15,MGC29762
AP001086.1,nan
MSL3,MSL3L1
AC245052.5,nan
UCP2,BMIQ4|SLC25A8
SFRP2,FRP-2|SDF-5|SARP1
FAM221A,C7orf46|FLJ45875|MGC72075|DKFZp686F0810
AC024561.1,nan
CNBD1,FLJ35802
AC093259.1,nan
RNU6-623P,nan
MRVI1,JAW1L|IRAG
TTC22,FLJ20619
RASGRF2-AS1,CTC-459I6.1
AL355140.2,nan
AC007262.2,nan
NUDT16,FLJ31265
AC115619.1,nan
GU182350.1,nan
POLR1A,RPA1|FLJ21915|DKFZP586M0122|RPO1-4
LINC00322,FLJ16545|NCRNA00322|C21orf136
COL1A1,OI4
MMP26,MGC126590|endometase|MGC126592
OR9A1P,HTPCRX06|OR9A1|HSHTPCRX06
AL591242.1,nan
ZBTB49,ZNF509|FLJ38559
AC026391.1,nan
IGLV3-13,nan
AC016722.2,nan
KCTD18,6530404F10Rik|FLJ37818|FLJ31322
AL391811.1,nan
AC092718.3,nan
GTF3C4,TFIIIC90|KAT12
MIR6895,hsa-mir-6895
ATP9A,ATPIIA|KIAA0611
MTND1P8,nan
LHFPL5,Tmhs|dJ510O8.8|DFNB67|MGC33835
CFAP100,MIA1|CCDC37|FLJ40083
AL683813.1,nan
SNTG2,SYN5|G2SYN
NSMAF,FAN|GRAMD5
NBAS,NAG
DUTP1,DUTL
RNU6-190P,nan
WDR90,C16orf15|KIAA1924|C16orf18|C16orf17|FLJ36483|C16orf19|C16orf16
AC110288.1,nan
AC011451.1,nan
AL157858.1,nan
PHBP21,nan
ZNF791,FLJ90396
AC007394.1,nan
AL049840.1,nan
RNU6-1324P,nan
AP000547.4,nan
CYP2G1P,CYP2G1|CYP2GP1
AP001636.1,nan
UGT1A8,UGT1H
AC009041.1,nan
NPM1P21,nan
CACNG1,CACNLG
EFL1P1,HsT19321|EFTUD1P1|FAM42B
LINC00112,C21orf22|NCRNA00112
KALRN,TRAD|HAPIP|duo|Hs.8004|Kalirin|DUET|ARHGEF24
RNU7-45P,U7.45
SCARNA22,ACA11
AC008870.2,nan
AC093903.1,nan
AL663061.1,nan
EVI2A,EVI2|EVDA
AP000648.1,nan
Z98257.1,nan
AL160237.4,nan
SLX1B,MGC5178|GIYD2
H2AC6,HIST1H2AC|H2AFL
DPYSL4,ULIP4|DRP-4|CRMP3
LINC02863,nan
AP001273.1,nan
AC099494.2,nan
AC055733.5,nan
AP002990.1,nan
RN7SL489P,nan
PYHIN5P,nan
SLF1,BRCTD1|DKFZp564C0469|DKFZp761C121|BRCTx|ANKRD32
AL590644.1,nan
AC022137.3,nan
AC090018.1,nan
SREK1,SFRS12|SRrp508|SRrp86|DKFZp564B176
AC112169.1,nan
AC100797.2,nan
OR7E128P,nan
Z98880.1,nan
AC073346.2,nan
DPPA2P1,nan
AC002350.2,nan
LRIF1,C1orf103|FLJ11269|RIF1
SNORD116-15,HBII-85-15
MIR6743,hsa-mir-6743
SYS1-DBNDD2,nan
PATE2,PATE-M|LVLF3112|C11orf38|UNQ3112
LINC01678,nan
CDK3,nan
MIR297,hsa-mir-297|MIRN297
AC026634.2,nan
RN7SL700P,nan
AC019257.3,nan
RNU6-1046P,nan
LINC02452,nan
MTND5P24,nan
MAPT,MTBT1|PPND|MTBT2|MGC138549|FTDP-17|MAPTL|PPP1R103|DDPAC|tau|MSTD|FLJ31424
USP9YP20,nan
EMC1-AS1,nan
CTSO,CTSO1
C1QTNF12,C1QDC2|ADIPOLIN|MGC105127|CTRP12|FAM132A
HSDL2,C9orf99|SDR13C1
LRRC41,MUF1
AL451086.1,nan
LINC00700,nan
AF254983.1,nan
OR6F1,OST731
AL589645.1,nan
AL353622.4,nan
AC020980.1,nan
MTND5P10,nan
AC009567.1,nan
ZNF687,KIAA1441
MTCO3P44,nan
OR4N1P,nan
AP001094.1,nan
SLC5A12,MGC52019|SMCT2
ABI1P1,ABI1P|SSH3BP1P
AC012629.2,nan
AC009163.4,nan
AL162727.2,nan
AL662844.2,nan
AC080013.5,nan
EEF1DP2,nan
AL929410.1,nan
ASB12,FLJ39577
CFAP157,C9orf117
MTCO3P17,nan
KRT8P18,nan
ING3,Eaf4|MEAF4|p47ING3|FLJ20089
AC010445.1,nan
TMEM117,DKFZp434K2435
AL356986.1,nan
ARID4A,RBBP1|RBP-1|RBP1
RBBP4P6,nan
AC005856.1,nan
RNU6-752P,nan
TMEM202,FLJ27523
LINC01609,nan
AL023584.1,nan
SAA4,C-SAA|CSAA
PSMF1,PI31
AC090607.1,nan
CYP51A1P1,CYP51P1
ZNF219,nan
AC024884.2,nan
ARMC7,FLJ22160
AL353804.1,nan
LINC02415,nan
AC002401.1,nan
TRANK1,LBA1|KIAA0342
ELMOD3,DFNB88|RBM29|RBED1|FLJ21977
PPIAP3,bA425M5.2
TMEM223,MGC3196
AL359636.1,nan
LINC02024,nan
PRKAR2B,PRKAR2
CDCA2,PPP1R81|Repo-Man
RNU6-889P,nan
ZZEF1,KIAA0399|FLJ10821|ZZZ4
OR5V1,hs6M1-21
SVOP,DKFZp761H039
AC011043.3,nan
AC025154.1,nan
AL161785.3,nan
HILPDA,HIG2|HIG-2|FLJ21076|C7orf68
GIPC2,SEMCAP-2|FLJ20075
MIR1911,MIRN1911|hsa-mir-1911
AC107956.2,nan
AL450263.1,nan
SMAD3,MADH3|HsT17436|JV15-2
AL359704.3,nan
TPST1,TANGO13A
AKIRIN1P2,nan
LRRC34P1,nan
C3orf38,MGC26717
AC090398.2,nan
AC099517.1,nan
OXCT1,SCOT|OXCT
C22orf39,MGC74441
PSMD2,TRAP2|Rpn1|P97|S2|MGC14274
GRPEL2-AS1,RP11-394O4.4
LINC00941,lncRNA-MUF
OR10J4,OR10J4P|OST717
AC113607.1,nan
LINC01216,EMCN-IT3
AC104964.5,nan
SNORD3A,U3|RNU3
NSUN7,FLJ14001
ASPSCR1,TUG|UBXN9|ASPS|ASPL|UBXD9
USP17L16P,nan
Z82195.2,nan
LNX1,LNX|MPDZ|PDZRN2
RNU6ATAC13P,nan
AC004233.1,nan
MID1,FXY|RNF59|TRIM18|OS
TRPC4AP,dJ756N5.2|PPP1R158|C20orf188|DKFZP727M231|TRRP4AP|DKFZp586C1223
AC083867.1,nan
LINC01672,NMR
DBI,ACBD1|ACBP
AC008162.1,nan
ABHD5,CGI-58|NCIE2
AC114744.1,nan
GHITM,HSPC282|PTD010|DERP2|My021|TMBIM5
MRM2,FJH1|RRMJ2|FTSJ2
GDF5,BMP14|CDMP1
PTMAP10,nan
LINC01787,nan
CLEC1A,MGC34328|CLEC1
AL592156.1,nan
AC016042.1,nan
AC013452.1,nan
STK38L,KIAA0965|NDR2
GTPBP4,NOG1|CRFG|NGB|FLJ10686|FLJ10690
NUS1P1,nan
AC107016.2,nan
MBL1P,MBL1P1|COLEC3P
AL357793.2,nan
CCDC172,C10orf96|MGC35062
SLX4,KIAA1784|BTBD12|FANCP|KIAA1987
AL731547.1,nan
SLC38A3,G17|SN1
CXCR3,CKR-L2|CMKAR3|MigR|CD183|GPR9|IP10-R
AL645933.4,nan
AC026336.4,nan
PTCHD3P3,nan
AC027601.4,nan
TAS2R2P,T2R2|TAS2R2|T2R02
AL391845.2,nan
LPCAT2,AGPAT11|LysoPAFAT|FLJ20481|AYTL1
AC243960.4,nan
CATSPER4,nan
RFPL4AP7,nan
PI4K2A,DKFZP761G1923|PI4KII|PIK42A
AC116165.6,nan
RAC1P2,Psi2Rac1
AL731542.1,nan
AL035252.3,nan
GAB4,nan
RPL5P25,nan
PTCHD1,FLJ30296
LHX6,LHX6.1
AC018814.1,nan
CALB1,CALB
AL357507.1,nan
AC079943.1,nan
CLNS1AP1,ICln|CLNS1B
GDPGP1,C15orf58
AC083849.4,nan
RNU6ATAC2P,nan
IGHV3OR16-16,IGHV3/OR16-16
PINK1,PARK6|BRPK
AL355974.1,nan
CDK2AP1,ST19|DOC1|doc-1|p12DOC-1|DORC1
DLG3,KIAA1232|SAP-102|PPP1R82|SAP102|MRX90|NE-Dlg|NEDLG
LRCH1,CHDC1|KIAA1016
ERBB3,HER3|LCCS2
RNU6-486P,nan
AC243837.1,nan
AC104771.1,nan
AJUBA,JUB|MGC15563
TLK2,MGC44450|PKU-ALPHA
AC008521.2,nan
AC106772.3,nan
RN7SKP187,nan
AC023891.1,nan
COL6A4P1,DIVA|VWA6|DVWA|COL6A4|COL6A4P
PTP4A3,PRL-R|PRL-3|PRL3
MINDY4,FAM188B|C7orf67|FLJ22374
GU182345.4,nan
CRBN,MRT2A|MRT2
HEXIM2,FLJ32384
AL662828.1,nan
AC078776.2,nan
HSPE1P12,nan
AC007610.7,nan
AC116317.1,nan
UBE2Q2P11,nan
HS3ST1,3OST1
PCDHGC3,PCDH-GAMMA-C3|PC-43|PCDH2|PC43
TOP2A,TOP2
FAM138A,F379
AC241377.4,nan
AK3P5,nan
AL671883.2,nan
LINC01470,nan
ZNF341,dJ553F4.3
TFDP1,Dp-1|DILC|DP1|DRTF1
IGKV3D-31,nan
AP000977.1,nan
OR10C1,hs6M1-17|OR10C2|OR10C1P
MIR2276,hsa-mir-2276
IFNL1,IL29|IL-29
OR2T3,nan
AC275362.1,nan
MIR193B,MIRN193B|hsa-mir-193b
CYP2A13,CPAD|CYP2A
OR5A2,nan
AC073651.2,nan
BX284656.1,nan
AC108479.2,nan
PDS5A,KIAA0648|PIG54|SCC-112
TMEM217,C6orf128|dJ355M6.2
SNORA18,ACA18
OSR2,FLJ90037
CTR9,SH2BP1|TSBP|KIAA0155|p150TSP
TRAV41,TCRAV41S1|TCRAV19S1
AC009065.6,nan
AL138752.1,nan
NBN,NBS1|ATV|AT-V2|AT-V1|NBS
AC067902.1,nan
AC007000.1,nan
AC092634.2,nan
ARGFXP2,nan
SNORD116-8,HBII-85-8
TNKS2-AS1,nan
OR2A25,OR2A24P|OR2A27|OR2A25P
AL121657.1,nan
LMX1B,NPS1
RNU6-408P,nan
USP17L30,nan
AC023796.1,nan
AL352979.1,nan
BET1,hbet1
AL592429.1,nan
PFN1P9,nan
MIR4509-1,hsa-mir-4509-1
AL691515.2,nan
AL391152.1,nan
LACTB2,CGI-83
TRBV4-1,TCRBV4S1|TRBV41|TCRBV7S1A1N2T|BV07S1J2.7
AC138747.9,nan
NPTXR,nan
RNU6-637P,nan
AL139039.6,nan
PGAM4P2,nan
AC015802.6,nan
NR2F6,EAR2|EAR-2|ERBAL2
TMEM82,nan
ATG10-AS1,nan
RN7SL778P,nan
ANKRD18A,FLJ35740|KIAA2015
ACSL6,LACS5|ACS2|LACS2|KIAA0837|FACL6
CLIC3,nan
AL021395.1,nan
HSD17B6,SDR9C6|RODH|HSE
RN7SL709P,nan
RNU1-89P,nan
AC007920.1,nan
NTF6A,NTF6|NTF5P|PSI-NT4
CR759798.1,nan
IGLV3-24,nan
AP000962.2,nan
AC005013.1,nan
RNA5SP415,RN5S415
MNX1,HOXHB9|HLXB9|SCRA1|HB9
AC107939.1,nan
AC110992.1,nan
PPP6R2P1,nan
AC090772.1,nan
AC009292.2,nan
PKD2L1,PKDL|PKD2L|TRPP3|PCL
STK25P1,nan
RN7SKP268,nan
LINC02754,nan
AC020934.1,nan
AC005884.2,nan
AC020718.1,nan
AC020910.5,nan
AC098587.1,nan
AC012519.1,nan
AC234063.2,nan
MIR219A1,MIRN219-1|MIR219-1|hsa-mir-219-1
AC006017.1,nan
MIR1302-2HG,nan
RNA5SP131,RN5S131
AC099335.1,nan
NEUROD4,ATH-3|Atoh3|MATH-3|bHLHa4
AC006455.5,nan
AC011501.1,nan
EIF4EBP3,4E-BP3
AURKA,STK15|PPP1R47|AurA|STK7|ARK1|AIK|BTAK|STK6
UNKL,FLJ23360|C16orf28|ZC3H5L|ZC3HDC5L
LINC01854,nan
MIR34AHG,nan
RN7SL617P,nan
AC133109.1,nan
ABTB1,BPOZ|BTBD21|Btb3|EF1ABP
AC245407.2,nan
PRR5L,FLJ14213|PROTOR-2
SAMD14,FLJ36890
AC108693.1,nan
AF111169.2,nan
AC003093.1,nan
GPN3P1,nan
PRSS16,TSSP
AC087393.1,nan
CHL1-AS1,nan
SELL,Leu-8|hLHRc|LSEL|LAM1|Lyam-1|CD62L|LYAM1|LNHR|LAM-1|PLNHR
HSFY7P,nan
AC244505.1,nan
DYNLT3P1,dJ531H16.2|TCTE1P
PRAF2,JM4|Yip6a
AC006600.2,nan
AC078882.1,nan
EIF2AK1,HRI|KIAA1369
CCNB1,CCNB
AC114814.2,nan
AC005476.2,nan
AC005520.4,nan
AC109992.2,nan
AC107909.1,nan
AL023877.1,nan
SAAL1,FLJ41463
SNORA70G,U70G
RN7SL52P,nan
AL133467.6,nan
KDSR,DHSR|FVT1|SDR35C1
MIR6511A1,hsa-mir-6511a-1
CPQ,PGCP|LDP
CCL26,SCYA26|IMAC|TSC-1|MIP-4alpha|eotaxin-3|MIP-4a
EYA3,DKFZp686C132
AL731769.2,nan
CCT5P1,nan
ADAMTS8,FLJ41712|METH2|ADAM-TS8
GDF11,BMP-11|BMP11
PGAP1,SPG67|FLJ12377|Bst1
NOTCH2NLC,nan
RN7SKP176,nan
Z86062.2,nan
RNU6-589P,nan
JHY,FLJ23554|Jhy|C11orf63
AC113404.2,nan
AL353780.1,nan
LINC02003,nan
AL021920.3,nan
ACTBP12,ACTGP5
ZFYVE9,SARA|SMADIP|PPP1R173|MADHIP
AC022916.1,nan
AC090023.2,nan
CIT,CRIK|KIAA0949|STK21|CITK
AC079926.1,nan
IDI2,IPPI2
CROCCP2,CROCCL1|MGC12760
AC004852.4,nan
H4P1,nan
GAR1,NOLA1
FYTTD1,UIF|DKFZp761B1514
RPS2P1,dJ64K7.1
ZC2HC1A,CGI-62|C8orf70|FAM164A
AP004607.2,nan
ENKD1,DKFZP434A1319|C16orf48
MTCO3P7,nan
HOTTIP,HOXA13-AS1|RP1-170O19.3|NCRNA00213|HOXA-AS6
AL049834.1,nan
AC005702.4,nan
AC022916.5,nan
AC171558.4,nan
AC131957.1,nan
HOMER2P2,nan
AL356776.2,nan
ATP5MC1P6,ATP5G1P6
AC093655.1,nan
AC003070.3,nan
RNU6ATAC37P,nan
AC231533.2,nan
AC046129.1,nan
AC005828.3,nan
METTL7A,DKFZP586A0522
SLC25A5P8,nan
NDC1,NET3|TMEM48|FLJ10407
AC013452.3,nan
ERICH6-AS1,nan
RPL30P16,nan
LINC02629,TCONS_00017811
HARS1,USH3B|HisRS|HARS
LUCAT1,SCAT5|SCAL1
KF459542.2,nan
AL162395.1,nan
AL357054.2,nan
ATP6V1A,VPP2|VA68|ATP6A1|ATP6V1A1|Vma1
ZNF574,FLJ22059
TPT1P14,nan
OR10AE1P,OR10AE2P
MIR548H3,MIRN548H3|hsa-mir-548h-3
TOB1,APRO5|TROB|TROB1|TOB
AC026310.3,nan
SLC5A1,D22S675|SGLT1|NAGT
AC073023.1,nan
UNC45B,CMYA4|UNC45
RNU6-188P,nan
AP003065.1,nan
KCTD21,KCASH2
SEH1L,Seh1|SEH1B|SEH1A|SEC13L
AC009237.12,nan
AC026271.1,nan
AC105402.2,nan
AC091059.2,nan
RN7SKP141,nan
AC006122.1,nan
RPS27,MPS1|S27|MPS-1
CYB561D2,TSP10|101F6
CST5,nan
AC079447.1,nan
AL121917.1,nan
SLC6A6P1,SLC6A6P
AL356432.5,nan
RNU6-978P,nan
SYF2P2,nan
AC079305.1,nan
AC120045.3,nan
AMIGO3,nan
AL121935.2,nan
AC124248.2,nan
BX248084.1,nan
AC004899.1,nan
KRTAP19-8,nan
SLC17A7,VGLUT1|BNPI
LRRN4CL,nan
AL160411.2,nan
AC011477.8,nan
ARF1P3,nan
RGP1,KIAA0258
CACYBPP1,nan
AC109635.4,nan
CLIC6,CLIC1L|CLIC5
EEF1A1P1,EEF1A1P
LINC02846,nan
INKA1,C3orf54|FAM212A
MMADHC,cblD|CL25022|C2orf25
AC019181.1,nan
MIR146A,MIRN146|MIRN146A|hsa-mir-146|hsa-mir-146a
ERVW-1,envW|HERV-7q|HERV-W-ENV|HERVW|HERV-W|ERVWE1
KRT18P43,nan
OARD1,MGC19570|TARG1|C6orf130|dJ34B21.3
ACHE,YT
TRIM75P,TRIM75
AP000439.2,nan
AP001625.2,nan
LINC01990,nan
LINC00529,C8orf8
BX284632.2,nan
AC079336.5,nan
AC073073.2,nan
EFCAB5,FLJ46247
C1DP1,bA195O1.1
LINC02622,nan
AP002512.3,nan
KAT2A,GCN5|GCN5L2|PCAF-b
RNU2-70P,nan
LINC02570,XXbac-BPG27H4.8
AC243658.1,nan
TPI1P1,nan
RN7SKP280,nan
RN7SL497P,nan
AL133338.1,nan
USP17L21,nan
ATAD3B,TOB3|KIAA1273
MITF,MI|bHLHe32|WS2|WS2A
AC025164.1,nan
RNU2-28P,nan
LY6G6D,NG25|G6D|C6orf23|MEGT1|Ly6-D
OXTR,nan
AL137792.1,nan
AP006287.2,nan
SNORD52,U52|RNU52
AC004882.3,nan
RNU6-439P,nan
AL021393.1,nan
AC124242.1,nan
AC103876.1,nan
AL355097.1,nan
AC012186.1,nan
MIR4444-2,hsa-mir-4444-2
AC087294.1,nan
